id	bridge_id2_qid	qid	semantic_groups	preflabel	synonyms	description	uri	comments
DOID:0060728		Q28024539	DISO	NGLY1-deficiency	Alacrimia-choreoathetosis-liver dysfunction syndrome|congenital disorder of deglycosylation|congenital disorder of glycosylation type Iv|deficiency of N-glycanase 1|NGLY1-CDDG	Human disease		
KEGG-path:map04141		Q30032991	PHYS	Protein processing in endoplasmic reticulum		Biochemical pathway		
